run_id,experiment_name,model_label,context,source_column,expected_target,actual_target,is_correct,is_acceptable,is_missing,is_explicitly_null,is_wrong,display_label,model_family
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Country,country_of_birth,country_of_birth,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Histologic_Grade_FIGO,tumor_grade,tumor_grade,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Histologic_type,primary_diagnosis,primary_diagnosis,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,FIGO_stage,figo_stage,figo_stage,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,BMI,bmi,bmi,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Age,age_at_index,age_at_index,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Race,race,race,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Ethnicity,ethnicity,ethnicity,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Gender,gender,gender,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Tumor_Focality,tumor_focality,tumor_focality,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
9a482697,dou_harmonization_bdikit-tools_gemini-3-flash-preview,google/gemini-3-flash-preview,bdikit_context,Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter,True,False,False,False,False,google/gemini-3-flash-preview | bdikit_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Country,country_of_birth,country_of_residence_at_enrollment,False,False,False,False,True,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Histologic_Grade_FIGO,tumor_grade,figo_grade,False,False,False,False,True,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Histologic_type,primary_diagnosis,morphology,False,False,False,False,True,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,FIGO_stage,figo_stage,figo_stage,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,BMI,bmi,bmi,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Age,age_at_index,age_at_index,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Race,race,race,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Ethnicity,ethnicity,ethnicity,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Gender,gender,gender,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Tumor_Focality,tumor_focality,tumor_focality,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
495062d5,dou_harmonization_codeact_gemini-3-flash-preview,google/gemini-3-flash-preview,codeact_context,Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter,True,False,False,False,False,google/gemini-3-flash-preview | codeact_context,frontier
